Source data:
n_boxes: 6, m: 5, d: 4, p_change_box: 0.100, nExp = 10000
Box 1. Total: 250. Red: 21, White: 13, Black: 59, Green: 81, Blue: 76
Box 2. Total: 240. Red: 57, White: 19, Black: 66, Green: 26, Blue: 72
Box 3. Total: 280. Red: 77, White: 94, Black: 62, Green: 39, Blue: 8
Box 4. Total: 270. Red: 44, White: 62, Black: 35, Green: 68, Blue: 61
Box 5. Total: 300. Red: 43, White: 14, Black: 39, Green: 102, Blue: 102
Box 6. Total: 210. Red: 67, White: 27, Black: 23, Green: 32, Blue: 61
Experiments:
# 1, Balls: Green, Green, Red, Black
# 2, Balls: Black, Black, Blue, Blue
# 3, Balls: White, Green, Green, Black
# 4, Balls: Black, White, Black, Red
# 5, Balls: Green, Red, White, Green
# 6, Balls: White, Black, Blue, White
# 7, Balls: White, Green, White, Blue
# 8, Balls: Green, White, Red, Red
# 9, Balls: Blue, White, Red, Black
# 10, Balls: White, White, Red, White
# 11, Balls: Green, Green, Blue, Red
# 12, Balls: White, Green, White, Green
# 13, Balls: Black, Blue, White, White
# 14, Balls: Blue, Red, Blue, Red
# 15, Balls: Red, Black, Red, Blue
# 16, Balls: Black, Red, Red, Red
# 17, Balls: Green, White, Blue, Blue
# 18, Balls: Red, Blue, Red, Blue
# 19, Balls: Red, Black, Green, Black
# 20, Balls: Red, Red, Red, Black
# 21, Balls: Green, Blue, Red, Red
# 22, Balls: Red, Green, Green, Blue
# 23, Balls: Red, Blue, Green, Blue
# 24, Balls: Black, Red, Red, Black
# 25, Balls: Blue, Blue, Red, Black
# 26, Balls: Red, Green, Blue, Green
# 27, Balls: Blue, Blue, Blue, Red
# 28, Balls: White, Blue, Blue, Red
# 29, Balls: Red, Blue, White, White
# 30, Balls: Green, Green, Blue, Red
# 31, Balls: Green, Red, White, Blue
# 32, Balls: Red, Red, Blue, Black
# 33, Balls: Black, Green, Red, Red
# 34, Balls: Red, Red, Blue, Green
# 35, Balls: Red, White, Blue, White
# 36, Balls: Red, Green, Blue, Green
# 37, Balls: White, Black, Red, Blue
# 38, Balls: Red, Blue, Green, Green
# 39, Balls: White, Green, Red, Black
# 40, Balls: Red, Red, Blue, Red
# 41, Balls: Blue, Red, Green, Black
# 42, Balls: White, Black, Black, Green
# 43, Balls: Green, Black, Green, Red
# 44, Balls: Red, Red, Black, Green
# 45, Balls: Green, Black, Red, Blue
# 46, Balls: Black, Green, Red, Red
# 47, Balls: Black, Black, Blue, Blue
# 48, Balls: Blue, Red, Red, Red
# 49, Balls: Black, Red, Red, Blue
# 50, Balls: Black, White, Blue, Red
# 51, Balls: Red, Black, White, White
# 52, Balls: White, White, Red, Black
# 53, Balls: Red, Black, White, Blue
# 54, Balls: Blue, Red, Red, Red
# 55, Balls: Red, Red, Black, Green
# 56, Balls: Green, Blue, Red, Red
# 57, Balls: Blue, Green, Red, Red
# 58, Balls: Red, Red, Red, Blue
# 59, Balls: Green, Red, Black, White
# 60, Balls: Red, Blue, Green, Red
# 61, Balls: White, Blue, Green, Blue
# 62, Balls: Blue, White, Blue, White
# 63, Balls: Red, Blue, Blue, Green
# 64, Balls: Green, White, Black, Black
# 65, Balls: Black, Green, Red, White
# 66, Balls: Blue, Black, Blue, White
# 67, Balls: Blue, Red, Red, Blue
# 68, Balls: Red, Blue, Blue, Red
# 69, Balls: Blue, Red, Blue, White
# 70, Balls: Blue, Red, White, Blue
# 71, Balls: Blue, Black, Blue, Blue
# 72, Balls: White, White, Green, Green
